"cv_0","pa","lon","lat","PC1","PC2","PC3","PC4","PC5"
2,0,-43.5124999996667,-20.0874999998653,-0.257111072540283,1.5818065404892,-1.26745116710663,2.0146005153656,0.588506400585175
1,0,-48.3541666663333,-17.2124999998545,-0.0354909524321556,-0.786085247993469,-1.15339004993439,1.08227300643921,0.291167169809341
2,0,-54.3874999996667,-18.4874999998593,0.486582309007645,-1.09453344345093,0.223656505346298,0.955838859081268,0.572884798049927
1,0,-54.7791666663333,-15.854166666516,0.39094290137291,-0.861037015914917,-0.388729363679886,1.75051522254944,0.816817104816437
2,0,-42.8041666663333,-18.6541666665266,-0.532345354557037,0.37056627869606,-0.825395107269287,1.68713045120239,0.473036825656891
3,0,-53.245833333,-12.2624999998359,0.7637859582901,-1.99478781223297,-0.498053759336472,1.67112672328949,0.213224172592163
4,0,-53.6624999996667,-18.3124999998586,0.530316293239594,-1.01569867134094,-0.00169690034817904,1.18375182151794,0.547539055347443
3,0,-43.620833333,-20.0791666665319,-0.101058557629585,0.852503776550293,-1.15317344665527,1.88326823711395,0.664675176143646
3,0,-53.1041666663333,-17.6874999998563,0.274181038141251,-0.397259265184402,-0.466771125793457,1.64494335651398,0.452615797519684
1,0,-42.0791666663333,-16.0041666665166,-1.35836088657379,-0.859270751476288,-1.39960026741028,0.319820463657379,0.857826113700867
4,0,-48.3041666663333,-19.6291666665302,0.364447206258774,-0.370289951562881,-0.593208134174347,1.64030742645264,0.913557708263397
4,0,-47.370833333,-14.2874999998435,0.184177652001381,-0.66056764125824,-1.45125293731689,0.92935037612915,0.580613553524017
3,0,-52.895833333,-12.5791666665037,0.595348954200745,-1.94840705394745,-0.721887409687042,1.41487634181976,0.278262108564377
4,0,-47.2791666663333,-21.5874999998709,-0.291135370731354,0.0541179850697517,-0.384771287441254,1.41923797130585,0.751705348491669
2,0,-41.420833333,-20.2458333331992,-0.796057879924774,1.91310966014862,-0.637602865695953,0.867480635643005,0.63985002040863
4,0,-49.3791666663333,-21.4708333332038,-0.298480123281479,-0.566946387290955,0.0275807790458202,0.994069457054138,0.910218775272369
1,0,-51.7791666663333,-20.3208333331995,0.0330272614955902,-0.924037277698517,0.258487612009048,0.946611642837524,0.872991740703583
4,0,-46.1291666663333,-17.179166666521,-0.29706671833992,-1.67485427856445,-1.00017642974854,0.943149626255035,0.435577362775803
2,0,-44.1624999996667,-16.6124999998522,-0.780372679233551,-1.09204721450806,-1.20122087001801,1.25854194164276,0.638083875179291
3,0,-50.3624999996667,-15.854166666516,0.691547751426697,-1.47367823123932,-0.78500109910965,0.832026481628418,0.498021334409714
2,0,-46.0791666663333,-15.3374999998474,0.671367883682251,-1.07591259479523,-1.39237022399902,2.132408618927,-0.128400564193726
4,0,-46.1041666663333,-11.762499999834,-0.123823113739491,-1.9289311170578,-0.98318487405777,0.866007745265961,0.322916954755783
3,0,-45.7124999996667,-19.6624999998637,-0.461091637611389,-0.532135248184204,-0.477651059627533,1.9836608171463,0.599939465522766
3,0,-47.1874999996667,-14.3624999998438,0.323429882526398,-1.90421140193939,-0.894708395004272,0.527709126472473,0.729038655757904
3,0,-50.9874999996667,-17.0374999998538,0.408425778150558,-0.859810829162598,-0.807091951370239,1.13005673885345,0.423351109027863
1,0,-47.9374999996667,-17.704166666523,0.0454504415392876,-0.651835322380066,-0.90516996383667,1.84414911270142,0.743672311306
2,0,-49.7291666663333,-16.5958333331855,0.627925217151642,-1.24437427520752,-0.900210559368134,0.845428287982941,0.497266799211502
4,0,-44.1791666663333,-19.2874999998623,-0.485350131988525,-0.669788122177124,-0.840426385402679,1.68345034122467,0.663238525390625
1,0,-44.7624999996667,-16.5791666665188,-0.945344924926758,-1.57917904853821,-0.841061890125275,1.0618292093277,0.362549424171448
1,0,-42.4624999996667,-20.9374999998685,-0.789130330085754,0.384513974189758,-0.416367411613464,1.46568405628204,0.584131956100464
3,0,-42.320833333,-17.4124999998552,-0.99704784154892,-0.720581471920013,-1.19491767883301,0.639112651348114,0.820195555686951
3,0,-47.695833333,-12.9458333331718,0.372571915388107,-2.21101450920105,-0.890308916568756,0.653293311595917,0.587183177471161
4,0,-56.795833333,-17.2624999998547,0.331710129976273,-1.68725478649139,0.214752599596977,0.089673824608326,0.923569798469543
1,0,-46.095833333,-22.6374999998749,-0.283922076225281,1.23282873630524,-0.190876424312592,1.76469671726227,0.819400906562805
2,0,-46.2374999996667,-13.9624999998423,0.13132107257843,-1.30457293987274,-1.41892147064209,0.700853228569031,0.410838007926941
2,0,-54.1791666663333,-20.6874999998676,0.579078376293182,-0.301892787218094,0.361535668373108,0.528605699539185,0.932031273841858
4,0,-46.220833333,-15.5958333331817,0.0178899727761745,-1.23927581310272,-1.20087122917175,1.24371564388275,0.300266653299332
